unq:name@Category.category_id,unq:name,ui_order,avg_price,fdev_id
'Medicines','Performance Enhancers',5,6745,128049209
'Medicines','Progenitor Cells',6,6711,128049669
'Metals','Aluminium',1,348,128049176
'Metals','Beryllium',2,8229,128049168
'Metals','Bismuth',3,2280,128672300
'Metals','Cobalt',4,695,128049162
'Metals','Copper',5,489,128049175
'Metals','Gallium',6,5107,128049170
'Metals','Gold',7,9373,128049154
'Metals','Hafnium 178',8,69098,128668549
'Metals','Indium',9,5774,128049169
'Metals','Lanthanum',10,8758,128672298
'Metals','Lithium',11,1582,128049173
'Metals','Osmium',12,9136,128671118
'Metals','Palladium',13,13244,128049153
'Metals','Platinum',14,19756,128049152
'Metals','Praseodymium',15,8604,128673845
'Metals','Samarium',16,8090,128673847
'Metals','Silver',17,4759,128049155
'Metals','Tantalum',18,3929,128049171
'Metals','Thallium',19,3613,128672299
'Metals','Thorium',20,11499,128672301
'Metals','Titanium',21,1016,128049174
'Metals','Uranium',22,2660,128049172
'Minerals','Bauxite',1,172,128049165
'Minerals','Bertrandite',2,2486,128049156
'Minerals','Bromellite',3,8531,128673846
'Minerals','Coltan',4,1391,128049159
'Minerals','Cryolite',5,2252,128672294
'Minerals','Gallite',6,1914,128049158
'Minerals','Goslarite',7,908,128672295
'Minerals','Indite',8,2179,128049157
'Minerals','Jadeite',9,13450,128672776
'Minerals','Lepidolite',10,605,128049161
'Minerals','Lithium Hydroxide',11,5644,128673853
'Minerals','Low Temperature Diamonds',12,57443,128673848
'Minerals','Methane Clathrate',13,629,128673854
'Minerals','Methanol Monohydrate Crystals',14,2284,128673852
'Minerals','Moissanite',15,8258,128672296
'Minerals','Painite',16,40504,128668550
'Minerals','Pyrophyllite',17,1555,128672297
'Minerals','Rutile',18,343,128049163
'Minerals','Taaffeite',19,20674,128672775
'Minerals','Uraninite',20,902,128049160
'Salvage','AI Relics',1,138613,128668548
'Salvage','Ancient Artefact',2,8064,128666756
'Salvage','Ancient Casket',3,6473,128732185
'Salvage','Ancient Orb',4,7351,128732184
'Salvage','Ancient Relic',5,11520,128732183
'Salvage','Ancient Tablet',6,7351,128732186
'Salvage','Ancient Totem',7,9496,128732188
'Salvage','Ancient Urn',8,4723,128732187
'Salvage','Antimatter Containment Unit',9,'',128682053
'Salvage','Antique Jewellery',10,136032,128672159
'Salvage','Antiquities',11,115015,128668551
'Salvage','Assault Plans',12,446,128672129
'Salvage','Black Box',13,7007,128666752
'Salvage','Commercial Samples',14,361,128672127
'Salvage','Damaged Escape Pod',15,11694,128672811
'Salvage','Data Core',16,2872,128682049
'Salvage','Diplomatic Bag',17,572,128672131
'Salvage','Earth Relics',18,10550,128672161
'Salvage','Encrypted Correspondence',19,372,128672130
'Salvage','Encrypted Data Storage',20,806,128672124
'Salvage','Experimental Chemicals',21,3481,128666758
'Salvage','Fossil Remnants',22,9927,128682055
'Salvage','Gene Bank',23,11912,128672162
'Salvage','Geological Samples',24,446,128672315
'Salvage','Hostage',25,23475,128672135
'Salvage','Large Survey Data Cache',26,157420,128672136
'Salvage','Military Intelligence',27,55296,128668552
'Salvage','Military Plans',28,9254,128666755
'Salvage','Mysterious Idol',29,15196,128682051
'Salvage','Occupied Escape Pod',30,23218,128672125
'Salvage','Personal Effects',31,11913,128672126
'Salvage','Political Prisoner',32,5132,128672134
'Salvage','Precious Gems',33,109641,128672160
'Salvage','Prohibited Research Materials',34,'',128682052
'Salvage','Prototype Tech',35,10514,128666760
'Salvage','Rare Artwork',36,7774,128666757
'Salvage','Rebel Transmissions',37,4001,128666759
'Salvage','SAP 8 Core Container',38,'',128671443
'Salvage','Scientific Research',39,635,128672132
'Salvage','Scientific Samples',40,772,128672133
'Salvage','Small Survey Data Cache',41,7332,128672137
'Salvage','Space Pioneer Relics',42,7342,128682054
'Salvage','Tactical Data',43,457,128672128
'Salvage','Technical Blueprints',44,6238,128666761
'Salvage','Thargoid Basilisk Tissue Sample',45,'',128793129
'Salvage','Thargoid Biological Matter',46,27757,128737288
'Salvage','Thargoid Cyclops Tissue Sample',47,'',128793128
'Salvage','Thargoid Heart',48,'',128793127
'Salvage','Thargoid Link',49,31350,128740752
'Salvage','Thargoid Medusa Tissue Sample',50,'',128793130
'Salvage','Thargoid Probe',51,411003,128673876
'Salvage','Thargoid Resin',52,20320,128737287
'Salvage','Thargoid Scout Tissue Sample',53,'',128824468
'Salvage','Thargoid Sensor',54,290190,128668547
'Salvage','Thargoid Technology Samples',55,22551,128737289
'Salvage','Time Capsule',56,4055,128672163
'Salvage','Trade Data',57,2748,128666754
'Salvage','Unstable Data Core',58,2427,128672810
'Salvage','Wreckage Components',59,10161,128672123
'Slavery','Imperial Slaves',1,16142,128667728
'Slavery','Slaves',2,9940,128049243
'Technology','Advanced Catalysers',1,2911,128049231
'Technology','Animal Monitors',2,324,128049229
'Technology','Aquaponic Systems',3,306,128049230
'Technology','Auto-Fabricators',4,3719,128049228
'Technology','Bioreducing Lichen',5,1009,128049672
'Technology','Computer Components',6,540,128049225
'Technology','H.E. Suits',7,324,128049226
'Technology','Hardware Diagnostic Sensor',8,6761,128673875
'Technology','Land Enrichment Systems',9,4840,128049232
'Technology','Medical Diagnostic Equipment',10,2890,128682047
'Technology','Micro Controllers',11,5539,128673873
'Technology','Muon Imager',12,6345,128672310
'Technology','Nanobreakers',13,2172,128673871
'Technology','Resonating Separators',14,5914,128049671
'Technology','Robotics',15,1830,128049227
'Technology','Structural Regulators',16,1796,128672311
'Technology','Telemetry Suite',17,3071,128673872
'Textiles','Conductive Fabrics',1,496,128682044
'Textiles','Leather',2,210,128049190
'Textiles','Military Grade Fabrics',3,756,128682045
'Textiles','Natural Fabrics',4,440,128049191
'Textiles','Synthetic Fabrics',5,214,128049193
'Waste','Biowaste',1,63,128049244
'Waste','Chemical Waste',2,130,128049246
'Waste','Scrap',3,78,128049248
'Waste','Toxic Waste',4,'',128049245
'Weapons','Battle Weapons',1,7257,128049234
'Weapons','Landmines',2,4594,128672312
'Weapons','Non-Lethal Weapons',3,1826,128049236
'Weapons','Personal Weapons',4,4684,128049233
'Weapons','Reactive Armour',5,2090,128049235
