!name@System.system_id,name@Station.station_id,name@Category.category_id,unq:name,cost,max_allocation,illegal,suppressed
'CHERBONES','Chalker Landing','Metals','Cherbones Blood Crystals',12550,3,'N','N'
'CHI ERIDANI','Steve Masters','Foods','Chi Eridani Marine Paste',784,18,'N','N'
'COLONIA','Jaques Station','Consumer Items','Jaques Quinentian Still',8435,18,'N','N'
'COQUIM','Hirayama Installation','Foods','Coquim Spongiform Victuals',255,20,'N','N'
'CROM','Chorel Survey','Legal Drugs','Crom Silver Fesh',712,17,'Y','N'
'DAMNA','Nemere Market','Textiles','Damna Carapaces',315,15,'N','N'
'DEA MOTRONA','Pinzon Dock','Legal Drugs','Motrona Experience Jelly',7420,13,'Y','Y'
'DELTA PAVONIS','Hooper Relay','Legal Drugs','Pavonis Ear Grubs',662,25,'Y','Y'
'DELTA PHOENICIS','Trading Post','Chemicals','Delta Phoenicis Palms',412,17,'N','N'
'DEURINGAS','Shukor Hub','Foods','Deuringas Truffles',1892,7,'N','N'
'DISO','Shifnalport','Foods','Diso Ma Corn',340,15,'N','N'
'ELEU','Finney Dock','Consumer Items','Eleu Thermals',864,13,'N','N'
'EPSILON INDI','Mansfield Orbiter','Legal Drugs','Indi Bourbon',1288,11,'Y','N'
'ERANIN','Azeban City','Legal Drugs','Eranin Pearl Whisky',1620,8,'Y','N'
'ESHU','Shajn Terminal','Consumer Items','Eshu Umbrellas',2050,9,'N','N'
'ESUSEKU','Savinykh Orbital','Foods','Esuseku Caviar',2450,10,'N','N'
'ETHGREZE','Bloch Station','Foods','Ethgreze Tea Buds',3261,7,'N','N'
'FUJIN','Futen Spaceport','Foods','Fujin Tea',992,10,'N','N'
'FULLERENE C60','Rebuy Prospect','Consumer Items','Buckyball Beer Mats',85,25,'N','N'
'GEAWEN','Obruchev Legacy','Legal Drugs','Geawen Dance Dust',1022,26,'Y','N'
'GEORGE PANTAZIS','Zamka Platform','Medicines','Pantaa Prayer Sticks',1815,17,'N','N'
'GERAS','Yurchikhin Port','Legal Drugs','Gerasian Gueuze Beer',450,20,'Y','N'
'GILYA','Bell Orbital','Weapons','Gilya Signature Weapons',7290,9,'Y','N'
'GOMAN','Gustav Sporer Port','Foods','Goman Yaupon Coffee',1451,16,'N','N'
'HAIDEN','Searfoss Enterprise','Foods','Haiden Black Brew',1347,15,'Y','N'
'HARMA','Gabriel Enterprise','Legal Drugs','Harma Silver Sea Rum',265,20,'N','N'
'HAVASUPAI','Lovelace Port','Consumer Items','Havasupai Dream Catcher',9636,2,'N','N'
'HECATE','RJH1972','Foods','Live Hecate Sea Worms',1190,13,'N','N'
'HEIKE','Brunel City','Foods','Ceremonial Heike Tea',1920,8,'N','N'
'HELVETITJ','Friend Orbital','Metals','Helvetitj Pearls',3620,6,'N','N'
'HIP 10175','Stefanyshyn-Piper Station','Foods','HIP 10175 Bush Meat',2105,13,'N','N'
'HIP 112974','La Cosa City','Legal Drugs','Onionhead Beta Strain',765,7,'Y','N'
'HIP 118311','Lubbock Market','Weapons','HIP 118311 Swarm',11525,8,'Y','N'
'HIP 41181','Andersson Station','Foods','HIP Proto-Squid',1488,5,'N','N'
'HIP 59533','Burnham Beacon','Legal Drugs','Burnham Bile Distillate',806,16,'N','N'
'HIP 80364','Stasheff Colony','Chemicals','HIP Organophosphates',385,19,'N','N'
'HOLVA','Kreutz Orbital','Weapons','Holva Duelling Blades',6518,7,'Y','N'
'HR 7221','Veron City','Foods','HR 7221 Wheat',415,16,'N','N'
'IRUKAMA','Blaauw City','Foods','Giant Irukama Snails',1810,16,'N','N'
'JARADHARRE','Gohar Station','Consumer Items','Jaradharre Puzzle Box',12706,6,'N','N'
'JAROUA','McCool City','Foods','Jaroua Rice',385,18,'N','N'
'JOTUN','Icelock','Textiles','Jotun Mookah',1252,32,'N','N'
'KACHIRIGIN','Nowak Orbital','Medicines','Kachirigin Filter Leeches',467,10,'N','N'
'KAMITRA','Hammel Terminal','Legal Drugs','Kamitra Cigars',6218,6,'Y','N'
'KAMORIN','Godwin Vision','Weapons','Kamorin Historic Weapons',2650,12,'Y','N'
'KAPPA FORNACIS','Harvestport','Legal Drugs','Onionhead',765,8,'Y','N'
'KARETII','Sinclair Platform','Consumer Items','Karetii Couture',5225,5,'N','N'
'KARSUKI TI','West Market','Foods','Karsuki Locusts',915,18,'N','N'
'KINAGO','Fozard Ring','Consumer Items','Kinago Violins',7279,3,'N','N'
'KONGGA','Laplace Ring','Legal Drugs','Kongga Ale',585,16,'Y','N'
'KORRO KUNG','Lonchakov Orbital','Chemicals','Koro Kung Pellets',220,20,'N','N'
'LAVE','Lave Station','Legal Drugs','Lavian Brandy',3500,7,'N','N'
'LDS 883','Smith Reserve','Textiles','Chameleon Cloth',1664,7,'N','N'
'LEESTI','George Lucas','Foods','Azure Milk',4123,7,'N','N'
'LEESTI','George Lucas','Legal Drugs','Leestian Evil Juice',457,14,'Y','N'
'LFT 1421','Ehrlich Orbital','Foods','Void Extract Coffee',2349,15,'N','N'
'LHS 3447','Bluford Orbital','Salvage','Galactic Travel Guide',11001,10,'N','N'
'LP 375-25','King Gateway','Medicines','Honesty Pills',1365,13,'Y','N'
'LTT 8517','Euclid Terminal','Machinery','Non Euclidian Exotanks',892,16,'N','N'
'LTT 9360','Smeaton Orbital','Foods','LTT Hyper Sweet',222,19,'N','N'
'MECHUCOS','Brandenstein Port','Foods','Mechucos High Tea',1345,8,'N','N'
'MEDB','Vela Dock','Chemicals','Medb Starlube',416,22,'N','N'
'MOKOJING','Noli Terminal','Foods','Mokojing Beast Feast',2681,7,'N','N'
'MOMUS REACH','Tartarus Point','Consumer Items','Momus Bog Spaniel',1825,7,'N','N'
'MUKUSUBII','Ledyard Dock','Foods','Mukusubii Chitin-os',654,15,'N','N'
'MULACHI','Clark Terminal','Foods','Mulachi Giant Fungus',86,19,'N','N'
'NAHUATL','Artzybasheff Terminal','Metals','Platinum Alloy',1480,13,'N','N'
'NERITUS','Toll Ring','Foods','Neritus Berries',850,13,'N','N'
'NGADANDARI','Napier Terminal','Metals','Ngadandari Fire Opals',16028,10,'N','N'
'NGUNA','Biggle Hub','Consumer Items','Nguna Modern Antiques',919,18,'N','N'
'NGURII','Cheranovsky City','Consumer Items','Soontill Relics',17000,5,'N','N'
'NJAMBALBA','Frost Dock','Salvage','Personal Gifts',12250,20,'N','N'
'NJANGARI','Lee Hub','Consumer Items','Njangari Saddles',650,13,'N','N'
'NOTI','Weber Gateway','Slavery','Master Chefs',18000,15,'Y','N'
'OCHOENG','Roddenberry Gateway','Foods','Ochoeng Chillies',998,14,'N','N'
'ORRERE','Sharon Lee Free Market','Foods','Orrerian Vicious Brew',533,16,'Y','N'
'PHIAGRE','Greeboski''s Outpost','Machinery','Giant Verrix',6522,6,'N','N'
'QUECHUA','Crown Ring','Foods','Albino Quechua Mammoth Meat',2538,10,'N','N'
'RAJUKRU','Snyder Terminal','Consumer Items','Rajukru Multi-Stoves',682,22,'N','N'
'RAPA BAO','Flagg Gateway','Textiles','Rapa Bao Snake Skins',550,11,'N','N'
'RUSANI','Fernandes Market','Legal Drugs','Rusani Old Smokey',5810,10,'Y','N'
'SANUMA','Dunyach Gateway','Foods','Sanuma Decorative Meat',860,19,'N','N'
'SHINRARTA DEZHRA','Jameson Memorial','Medicines','The Waters of Shintara',7421,6,'N','N'
'SOTHIS','Newholm Station','Metals','Sothis Crystalline Gold',15905,20,'N','N'
'TANMARK','Cassie-L-Peia','Foods','Tanmark Tranquil Tea',1814,9,'N','N'
'TANMARK','Cassie-L-Peia','Legal Drugs','Lucan Onionhead',815,8,'Y','N'
'TARACH TOR','Tranquillity','Legal Drugs','Tarach Spice',1056,8,'Y','N'
'TERRA MATER','Gr8minds','Medicines','Terra Mater Blood Bores',7824,24,'Y','N'
'THRUTIS','Kingsbury Dock','Legal Drugs','Thrutis Cream',925,11,'Y','N'
'TIOLCE','Gordon Terminal','Consumer Items','Tiolce Waste2Paste Units',1153,16,'N','N'
'TOXANDJI','Tsunenaga Orbital','Chemicals','Toxandji Virocide',535,18,'N','N'
'USZAA','Guest Installation','Foods','Uszaian Tree Grub',965,14,'N','N'
'UTGAROAR','Fort Klarix','Foods','Utgaroar Millennial Eggs',1795,15,'N','N'
'UZUMOKU','Sverdrup Ring','Consumer Items','Uzumoku Low-G Wings',8496,7,'N','N'
'V1090 HERCULIS','Kaku Plant','Medicines','V Herculis Body Rub',160,20,'N','N'
'VANAYEQUI','Clauss Hub','Textiles','Vanayequi Ceratomorpha Fur',615,10,'N','N'
'VEGA','Taylor City','Medicines','Vega Slimweed',2398,8,'N','N'
'VIDAVANTA','Lee Mines','Consumer Items','Vidavantian Lace',6771,5,'N','N'
'VOLKHAB','Vernadsky Dock','Machinery','Volkhab Bee Drones',3262,8,'N','N'
'WHEEMETE','Eisinga Enterprise','Foods','Wheemete Wheat Cakes',262,19,'N','N'
'WITCHHAUL','Hornby Terminal','Foods','Witchhaul Kobe Beef',4520,9,'N','N'
'WOLF 1301','Saunders''s Dive','Legal Drugs','Wolf Fesh',712,13,'Y','Y'
'WULPA','Williams Gateway','Machinery','Wulpa Hyperbore Systems',1175,10,'N','N'
'WUTHIELO KU','Tarter Dock','Legal Drugs','Wuthielo Ku Froth',420,17,'Y','N'
'XELABARA','Navigator Market','Legal Drugs','Onionhead Alpha Strain',765,6,'Y','N'
'XIHE','Zhen Dock','Technology','Xihe Biomorphic Companions',4482,10,'N','N'
'YASO KONDI','Wheeler Market','Legal Drugs','Yaso Kondi Leaf',6060,5,'Y','N'
'ZAONCE','Ridley Scott','Consumer Items','Leathery Eggs',24350,1,'N','N'
'ZEESSZE','Nicollier Hangar','Consumer Items','Zeessze Ant Grub Glue',374,18,'N','N'
