unq:name@System.system_id,unq:name,ls_from_star,blackmarket,max_pad_size,market,shipyard,modified,outfitting,rearm,refuel,repair,planetary
'11 VIRGINIS','Illy Orbital',1649,'N','M','Y','N','2015-07-11 11:55:42','N','Y','Y','Y','N'
'11 VIRGINIS','Thornton Port',1223,'N','L','Y','Y','2015-07-11 11:55:13','Y','Y','Y','Y','N'
'11 VIRGINIS','Wheeler Terminal',1221,'Y','M','N','N','2015-07-11 11:55:30','N','Y','Y','Y','N'
'110 HERCULIS','Jahn Hangar',169,'Y','M','Y','N','2015-10-10 16:16:06','N','N','Y','Y','N'
'110 HERCULIS','Stirling Vision',1302,'N','M','Y','N','2015-10-10 16:16:06','N','Y','Y','Y','N'
'111 TAURI','Gillekens Settlement',472,'Y','L','Y','Y','2015-10-10 16:16:06','Y','Y','Y','Y','N'
'111 TAURI','Samokutyayev Orbital',4719,'Y','M','Y','N','2015-10-10 16:16:06','N','Y','Y','Y','N'
'111 TAURI','Vernadsky Penitentiary',0,'?','L','Y','N','2015-12-24 23:32:51','Y','?','?','?','?'
'114 G. AQUILAE','Hirase Gateway',34950,'Y','L','Y','Y','2015-07-17 20:39:23','Y','Y','Y','Y','N'
'114 G. AQUILAE','Mendeleev Port',33020,'N','M','Y','N','2015-07-17 20:41:00','N','N','Y','Y','N'
'114 G. AQUILAE','Morey Terminal',35749,'Y','L','Y','Y','2015-10-10 16:16:06','Y','Y','Y','Y','N'
'114 G. AQUILAE','Savery Enterprise',35749,'N','M','Y','N','2015-07-17 20:40:19','N','N','Y','Y','N'
'114 G. AQUILAE','Wilcutt Port',34627,'N','M','Y','N','2015-07-17 20:40:40','N','Y','Y','Y','N'
'12 ANDROMEDAE','Cauchy Orbital',1840,'Y','M','Y','N','2015-10-10 16:16:06','Y','Y','Y','N','N'
'12 ANDROMEDAE','Patterson Hangar',1576,'Y','M','Y','N','2015-10-10 16:16:06','Y','Y','Y','N','N'
'12 AQUARII','Doctorow Settlement',0,'N','M','Y','N','2015-10-10 16:16:06','N','N','Y','Y','N'
'12 AQUARII','Sturgeon Platform',0,'N','M','Y','N','2015-10-10 16:16:06','N','N','Y','Y','N'
'12 D BOOTIS','Asher Orbital',1314,'N','M','Y','N','2015-03-13 21:48:28','N','N','Y','Y','N'
'12 D BOOTIS','Julian Hub',916,'N','M','Y','N','2015-03-13 21:48:28','N','N','Y','Y','N'
'12 D BOOTIS','Nagata Terminal',528,'N','M','N','N','2015-05-01 04:42:34','N','N','Y','Y','N'
'12 D BOOTIS','Nicholson Terminal',1631,'N','L','Y','Y','2015-04-15 22:08:23','Y','Y','Y','Y','N'
'12 D BOOTIS','Shaikh Terminal',400157,'N','L','Y','Y','2015-10-10 16:16:06','Y','Y','Y','Y','N'
'12 D BOOTIS','Williams Port',415690,'N','M','N','N','2015-07-17 20:42:28','Y','N','Y','Y','N'
'12 D BOOTIS','Williamson Enterprise',749,'N','M','Y','N','2015-03-13 21:48:28','N','N','Y','Y','N'
'12 G. CANIS MINORIS','Fancher Enterprise',4987,'N','L','Y','Y','2015-06-15 09:03:16','Y','Y','Y','Y','N'
'12 G. CANIS MINORIS','Neville Vision',5115,'N','M','Y','N','2015-06-15 09:03:30','Y','N','Y','Y','N'
'12 G. CANIS MINORIS','Raleigh Terminal',2241,'N','M','Y','N','2015-06-15 09:03:45','N','N','Y','Y','N'
'12 GAMMA-1 DELPHINI','Al-Battani Orbital',228326,'N','M','Y','N','2015-06-21 23:06:02','Y','Y','Y','Y','N'
'12 GAMMA-1 DELPHINI','Walheim Installation',228125,'N','M','Y','N','2015-06-21 23:06:02','Y','Y','Y','Y','N'
'12 LAMBDA CORONAE BOREALIS','Doctorow Station',4321,'N','M','Y','N','2015-07-17 20:43:54','N','Y','Y','Y','N'
'12 LAMBDA CORONAE BOREALIS','Tucker City',2281,'Y','L','Y','Y','2015-07-17 20:43:33','Y','Y','Y','Y','N'
'12 PERSEI','Kovalevsky Orbital',350,'N','M','Y','N','2015-06-15 09:04:47','N','N','Y','Y','N'
'12 PERSEI','Wundt Terminal',241,'Y','M','Y','N','2015-06-15 09:04:22','Y','Y','Y','N','N'
'12 SEXTANTIS','Fowler Port',0,'N','M','Y','N','2015-10-10 16:16:06','N','N','Y','Y','N'
'12 SEXTANTIS','Whymper Stop',0,'N','M','Y','N','2015-10-10 16:16:06','N','N','Y','Y','N'
'13 LAMBDA CRATERIS','Furrer Hub',572,'N','M','Y','N','2015-07-17 20:45:33','N','N','Y','Y','N'
'13 LAMBDA CRATERIS','Morukov Dock',334,'Y','L','Y','Y','2015-07-17 20:44:44','Y','Y','Y','Y','N'
'13 LAMBDA CRATERIS','Phillips Hub',467,'N','M','Y','N','2015-07-17 20:45:12','N','N','Y','N','N'
'13 ORIONIS','Scott Port',958,'Y','L','Y','Y','2015-06-21 23:09:14','Y','Y','Y','Y','N'
'13 ORIONIS','Underwood Port',958,'Y','L','Y','Y','2015-06-21 23:09:14','Y','Y','Y','Y','N'
'13 TRIANGULI','Bartoe Hub',42757,'N','L','Y','Y','2015-10-10 16:16:06','Y','Y','Y','Y','N'
'13 TRIANGULI','Kerwin Hub',40278,'Y','M','Y','N','2015-07-17 20:46:17','Y','Y','Y','N','N'
'13 TRIANGULI','Lee Survey',0,'?','L','Y','N','2015-12-27 01:50:05','Y','?','?','?','?'
'132 G. AQUARII','Chretien Ring',2456,'N','L','Y','Y','2015-10-10 16:16:06','Y','Y','Y','Y','N'
'132 G. AQUARII','Grabe Gateway',4304,'N','M','Y','N','2015-06-21 23:06:55','N','Y','Y','Y','N'
'133 G. CANIS MAJOR','Dorsett Horizons',0,'N','M','Y','N','2015-10-10 16:16:06','Y','Y','Y','Y','N'
'133 G. CANIS MAJOR','Maxwell Terminal',0,'N','M','Y','N','2015-10-10 16:16:06','N','N','Y','Y','N'
'14 ERIDANI','Lamarck Vision',5957,'N','L','Y','Y','2016-01-13 16:40:33','Y','Y','Y','Y','N'
'14 ERIDANI','Meucci Station',4567,'Y','M','N','N','2016-01-13 16:41:28','N','Y','Y','Y','N'
'14 HERCULIS','Chilton Platform',307,'Y','M','Y','N','2015-10-10 16:16:06','N','N','Y','Y','N'
'14 I ORIONIS','Burroughs Survey',3002,'N','M','Y','N','2015-06-23 09:33:16','N','Y','Y','Y','N'
'14 I ORIONIS','Veblen Station',441,'N','M','Y','N','2015-06-23 09:33:16','N','N','Y','Y','N'
'14 PSI CANCRI','Bushnell Station',1436,'N','M','Y','N','2015-06-21 23:09:24','N','N','Y','N','N'
'14 PSI CANCRI','Hale City',2033,'N','L','Y','Y','2015-06-21 23:09:24','Y','Y','Y','Y','N'
'14 PSI CANCRI','Land Enterprise',2880,'N','M','Y','N','2015-06-21 23:09:24','N','Y','Y','Y','N'
'14 PSI CANCRI','Nagel Hub',1019,'Y','L','Y','Y','2015-06-21 23:09:24','Y','Y','Y','Y','N'
'14 PSI CANCRI','Nakaya Dock',414,'N','L','Y','Y','2015-06-21 23:09:24','Y','Y','Y','Y','N'
'14 PSI CANCRI','Potter Terminal',733,'Y','M','Y','N','2015-06-21 23:09:24','Y','Y','Y','N','N'
'14 PSI CANCRI','Xiaoguan Port',3654,'N','M','Y','N','2015-06-21 23:09:24','Y','Y','Y','Y','N'
'14 PSI CANCRI','Yamazaki Hub',1436,'N','L','Y','Y','2015-06-21 23:09:24','Y','Y','Y','Y','N'
'14 TAU URSAE MAJORIS','Cook Platform',0,'N','M','Y','N','2015-10-10 16:16:07','N','Y','Y','Y','N'
'14 TAU URSAE MAJORIS','Darnielle Enterprise',0,'N','M','Y','N','2015-10-10 16:16:07','N','Y','Y','Y','N'
'14 VULPECULAE','Gurragchaa Terminal',2699,'Y','L','Y','Y','2015-07-17 20:47:54','Y','Y','Y','Y','N'
'15 DELPHINI','Johnson Vision',0,'Y','M','Y','N','2015-10-10 16:16:07','Y','Y','Y','Y','N'
'15 F LEONIS','Anthony Vision',1218,'Y','M','Y','N','2015-09-13 00:23:02','Y','Y','Y','N','N'
'15 F LEONIS','Gallun Vision',409,'Y','M','Y','N','2015-09-12 13:24:54','Y','Y','Y','N','N'
'15 F LEONIS','Hume Vision',1595,'Y','L','Y','Y','2015-09-12 13:25:19','Y','Y','Y','Y','N'
'15 GEMINORUM','Artsebarsky Dock',2240,'Y','M','N','N','2015-10-10 16:16:07','N','N','Y','Y','N'
'15 GEMINORUM','Ericsson Port',1797,'Y','M','Y','N','2015-06-21 23:11:25','Y','Y','Y','Y','N'
'15 GEMINORUM','Gantt Station',1092,'Y','L','Y','Y','2015-05-07 19:15:55','Y','Y','Y','Y','N'
'15 LAMBDA AURIGAE','Appel Enterprise',10093,'Y','M','Y','N','2015-09-24 10:47:27','Y','Y','Y','N','N'
'15 LAMBDA AURIGAE','Benz Ring',10094,'N','L','Y','Y','2015-10-10 16:16:07','Y','Y','Y','Y','N'
'15 LAMBDA AURIGAE','Helms Orbital',10654,'N','M','Y','N','2015-09-24 10:46:53','N','N','Y','Y','N'
'15 LAMBDA AURIGAE','Jacquard Station',9334,'N','M','Y','N','2015-09-24 10:47:54','N','Y','Y','Y','N'
'15 LAMBDA AURIGAE','Maclean City',10476,'Y','L','Y','Y','2015-09-24 10:46:25','Y','Y','Y','Y','N'
'15 LAMBDA AURIGAE','Macquorn Rankine City',10576,'N','M','Y','N','2015-09-24 10:46:38','N','N','Y','Y','N'
'15 LAMBDA AURIGAE','Ray Ring',10515,'Y','M','Y','N','2015-10-10 16:16:07','N','N','Y','Y','N'
'15 LAMBDA AURIGAE','Tognini Orbital',10316,'N','L','Y','Y','2015-12-21 23:56:15','Y','Y','Y','Y','N'
'15 LAMBDA AURIGAE','Wiley Station',1742,'N','L','Y','Y','2015-12-21 23:20:07','Y','Y','Y','Y','N'
'15 PEGASI','Usachov Beacon',46118,'N','M','Y','N','2015-09-06 11:02:04','Y','N','Y','Y','N'
'15 PSI SCORPII','Carter Survey',0,'Y','M','Y','N','2015-10-10 16:16:07','Y','Y','Y','N','N'
'15 PSI SCORPII','Thuot Landing',0,'N','M','Y','N','2015-10-10 16:16:07','N','N','Y','Y','N'
'15 URSAE MAJORIS','Bamford Horizons',348,'N','M','Y','N','2015-10-22 15:40:35','N','N','Y','Y','N'
'15 URSAE MAJORIS','Salam Terminal',886,'Y','M','Y','N','2015-10-22 15:40:57','Y','Y','Y','N','N'
'157 G. AQUARII','Dunbar Hub',142,'Y','L','Y','Y','2015-03-14 04:11:30','Y','Y','Y','Y','N'
'157 G. AQUARII','Lucid City',263,'N','M','Y','N','2015-04-27 19:24:30','N','N','Y','Y','N'
'157 G. AQUARII','Titov Port',3810,'N','M','N','N','2015-05-13 08:25:24','Y','N','Y','Y','N'
'16 C URSAE MAJORIS','Daimler Station',2527,'Y','L','Y','Y','2015-06-21 23:10:56','Y','Y','Y','Y','N'
'16 C URSAE MAJORIS','Nachtigal Settlement',2527,'Y','L','N','N','2015-12-25 19:43:04','Y','Y','Y','Y','?'
'16 C URSAE MAJORIS','Platt Barracks',2528,'N','L','Y','N','2015-12-25 19:39:48','Y','Y','Y','Y','?'
'16 CEPHEI','Song Settlement',14800,'N','M','Y','N','2015-10-24 08:57:37','N','N','Y','Y','N'
'16 CYGNI','Borisenko Dock',146754,'N','L','Y','Y','2015-06-15 09:07:34','Y','Y','Y','Y','N'
'16 CYGNI','Hoffman Terminal',2318,'N','M','Y','N','2015-06-15 09:06:49','N','N','Y','Y','N'
'16 CYGNI','Kaleri Market',144693,'Y','M','Y','N','2015-10-10 16:16:07','N','N','Y','Y','N'
'16 CYGNI','Northrop Port',143856,'N','L','Y','Y','2015-06-15 09:07:47','Y','Y','Y','Y','N'
'16 CYGNI','Payette Market',171602,'N','L','Y','Y','2016-01-12 11:39:29','Y','Y','Y','Y','N'
'16 CYGNI','Siemens Orbital',145002,'N','L','Y','Y','2015-06-15 09:07:22','Y','Y','Y','Y','N'
'16 ETA SAGITTAE','Bounds Hub',184630,'N','M','Y','N','2015-09-24 10:48:49','Y','N','Y','Y','N'
'16 ETA SAGITTAE','MacDonald Orbital',2109,'Y','L','Y','Y','2015-09-24 10:48:38','Y','Y','Y','Y','N'
'16 ETA SAGITTAE','MacGregor City',184662,'N','M','Y','N','2015-09-24 10:49:00','Y','Y','Y','Y','N'
'16 LIBRAE','Borisenko Station',1216,'Y','L','Y','Y','2015-09-24 10:50:02','Y','Y','Y','Y','N'
'16 LIBRAE','Curie Port',4054,'N','M','Y','N','2015-10-10 16:16:07','Y','N','N','Y','N'
'16 LYRAE','Asimov Gateway',511,'Y','L','Y','Y','2015-10-10 16:16:07','Y','Y','Y','Y','N'
'16 LYRAE','Budrys Ring',1464,'Y','L','Y','Y','2015-08-21 15:26:55','Y','Y','Y','Y','N'
'16 LYRAE','Green Dock',1960,'Y','L','Y','Y','2015-08-22 14:23:12','Y','Y','Y','Y','N'
'16 LYRAE','Hannu Ring',346,'Y','L','Y','Y','2015-06-21 23:02:03','Y','Y','Y','Y','N'
'16 LYRAE','May Hub',2699,'Y','M','Y','N','2015-08-22 14:32:40','Y','Y','Y','Y','N'
'16 LYRAE','Svavarsson Ring',814,'N','M','Y','N','2015-08-21 15:16:27','N','N','N','Y','N'
'16 PERSEI','Delbruck Hub',8918,'Y','M','Y','N','2015-10-10 16:16:08','N','N','Y','Y','N'
'16 PERSEI','Pirsan Port',8888,'N','M','N','N','2015-07-17 20:49:50','Y','N','Y','Y','N'
'16 PERSEI','Stewart Gateway',499,'Y','L','Y','Y','2015-06-20 12:30:38','Y','Y','Y','Y','N'
'16 PISCIUM','Haise Settlement',0,'Y','M','N','N','2015-10-10 16:16:08','N','N','N','N','N'
'16 PISCIUM','Hirase Platform',0,'N','M','Y','N','2015-10-10 16:16:08','N','N','Y','Y','N'
'16 PISCIUM','Khan Refinery',0,'N','M','Y','N','2015-10-10 16:16:08','N','Y','Y','Y','N'
'16 PISCIUM','Rushworth Beacon',0,'?','?','Y','?','2016-01-09 05:32:01','?','?','?','?','?'
'16 TAU CORONAE BOREALIS','Bass Orbital',2701,'N','L','Y','Y','2015-05-13 11:20:44','Y','Y','Y','Y','N'
'16 TAU CORONAE BOREALIS','Karlsefni Hub',1723,'Y','L','Y','Y','2015-06-21 23:18:40','Y','Y','Y','Y','N'
'16 TAU CORONAE BOREALIS','La Cosa Port',4395,'N','M','Y','N','2015-05-13 08:39:48','N','N','Y','Y','N'
'16 TAU CORONAE BOREALIS','Lem Dock',670,'Y','L','Y','Y','2015-05-18 02:01:52','Y','Y','Y','Y','N'
'16 TAU CORONAE BOREALIS','Mcdaniel Terminal',1199,'Y','L','Y','Y','2015-05-13 12:22:39','Y','Y','Y','Y','N'
'16 TAU CORONAE BOREALIS','Reed Ring',4373,'N','M','Y','N','2015-05-13 12:22:39','Y','Y','Y','Y','N'
'16 TAU CORONAE BOREALIS','Scithers Ring',6416,'N','M','Y','N','2015-05-13 12:22:39','N','N','Y','Y','N'
'169 G. CANIS MAJORIS','Bond Dock',3264,'N','L','Y','Y','2015-10-10 16:16:08','Y','Y','Y','Y','N'
'17 BETA PISCIS AUSTRINI','Kreutz Vista',35690,'Y','M','Y','N','2015-12-22 20:36:42','Y','N','N','Y','N'
'17 BETA PISCIS AUSTRINI','McKie Station',35339,'N','L','Y','Y','2015-10-15 09:13:36','Y','Y','Y','Y','N'
'17 BETA PISCIS AUSTRINI','Proctor Vision',35291,'N','M','Y','N','2015-12-22 20:36:57','Y','N','N','Y','N'
'17 CRATERIS','Al-Jazari Port',227,'Y','L','Y','Y','2015-06-21 23:09:31','Y','Y','Y','Y','N'
'17 CRATERIS','Delbruck Dock',3296,'N','M','N','N','2015-06-21 23:09:31','Y','N','Y','Y','N'
'17 CRATERIS','Lichtenberg Station',2518,'N','M','N','N','2015-10-10 16:16:08','N','Y','Y','Y','N'
'17 CYGNI','Blackman Station',13508,'N','L','Y','Y','2015-06-21 23:11:48','Y','Y','Y','Y','N'
'17 CYGNI','Grant Station',1014,'Y','L','Y','Y','2015-09-23 09:45:50','Y','Y','Y','Y','N'
'17 CYGNI','Hassanein Vision',223,'N','L','N','N','2016-01-11 11:04:35','Y','Y','Y','Y','Y'
'17 CYGNI','Krylov Station',9515,'Y','L','Y','Y','2015-09-23 09:57:52','Y','Y','Y','Y','N'
'17 CYGNI','Lloyd Base',0,'?','L','Y','N','2015-12-23 17:57:53','?','?','?','?','?'
'17 DRACONIS','Paradiso Outpost',10300,'N','L','Y','Y','2016-01-03 21:18:20','Y','Y','Y','Y','N'
'17 KAPPA-1 BOOTIS','Grimwood Enterprise',530,'Y','L','Y','Y','2015-07-17 20:51:34','Y','Y','Y','Y','N'
'17 LYRAE','Alpers Station',466,'N','L','Y','Y','2015-04-29 12:26:47','Y','Y','Y','Y','N'
'17 LYRAE','Cady Terminal',1625,'Y','L','Y','Y','2015-04-29 12:27:28','Y','Y','Y','Y','N'
'17 LYRAE','Cole Station',835,'N','M','Y','N','2015-04-29 12:29:33','Y','Y','Y','Y','N'
'17 LYRAE','Lambert Ring',2965,'N','M','Y','N','2015-04-29 12:30:40','N','N','Y','Y','N'
'17 LYRAE','Langford Enterprise',2200,'N','L','Y','Y','2015-04-29 12:31:31','Y','Y','Y','Y','N'
'17 LYRAE','Mourelle Terminal',1190,'N','M','Y','N','2015-04-29 12:32:18','N','Y','Y','Y','N'
'17 LYRAE','Ross Gateway',467,'N','M','Y','N','2015-04-29 12:32:55','N','N','Y','Y','N'
'17 THETA SAGITTAE','Burckhardt Port',22021,'N','M','Y','N','2015-07-17 20:52:37','N','N','Y','Y','N'
'17 THETA SAGITTAE','Kornbluth Prospect',22023,'N','M','Y','N','2015-07-17 20:52:16','N','N','Y','N','N'
'17 VIRGINIS','Hodgkin Platform',1326,'Y','M','Y','N','2015-12-31 02:56:40','Y','N','Y','Y','N'
'17 VIRGINIS','Nagel Outpost',2370,'N','M','Y','N','2015-10-10 16:16:08','Y','Y','Y','N','N'
'171 G. AQUARII','Elcano Dock',3186,'Y','L','Y','Y','2015-06-21 23:09:13','Y','Y','Y','Y','N'
'18 AQUARII','Richards Terminal',0,'N','M','Y','N','2015-10-10 16:16:08','N','N','Y','Y','N'
'18 CETI','Bella City',4146,'Y','M','Y','N','2015-10-10 16:16:08','Y','Y','Y','Y','N'
'18 CETI','Landsteiner City',2100,'Y','L','Y','Y','2015-05-25 15:10:36','Y','Y','Y','Y','N'
'18 CETI','Lovell Dock',39071,'N','M','N','N','2015-05-13 12:00:05','Y','N','Y','Y','N'
'18 E URSAE MAJORIS','Stefansson Outpost',0,'N','M','Y','N','2015-10-10 16:16:09','N','N','Y','Y','N'
'18 LAMBDA PISCIUM','Barnaby Station',11567,'Y','L','Y','Y','2015-10-10 16:16:08','Y','Y','Y','Y','N'
'18 LAMBDA PISCIUM','Foden Gateway',11525,'Y','M','Y','N','2015-07-17 20:54:52','Y','Y','Y','Y','N'
'18 LAMBDA PISCIUM','Hausdorff Hub',11920,'Y','L','Y','Y','2015-07-17 20:55:15','Y','Y','Y','Y','N'
'18 LAMBDA PISCIUM','Nylund Gateway',11573,'Y','L','Y','Y','2015-08-29 17:10:10','Y','Y','Y','Y','N'
'18 PUPPIS','Kraepelin City',4548,'Y','L','Y','Y','2015-10-10 16:16:09','Y','Y','Y','Y','N'
