unq:rare_id,station_id@Station.station_id,category_id@Category.category_id,unq:name,cost,max_allocation,illegal,suppressed
6588,3226857216,11,'Gilya Signature Weapons','','','?','?'
6589,128045312,3,'Delta Phoenicis Palms','','','?','?'
6590,3230258688,3,'Toxandji Virocide','','','?','?'
6591,3224133120,10,'Xihe Biomorphic Companions','','','?','?'
6592,3230331136,4,'Sanuma Decorative Meat','','','?','?'
6593,3229524992,4,'Ethgreze Tea Buds','','','?','?'
6594,3227417856,4,'Ceremonial Heike Tea','','','?','?'
6595,128057866,4,'Tanmark Tranquil Tea','','','?','?'
6596,3228400128,10,'AZ Cancri Formula 42','','','?','?'
6597,3225450752,8,'Kamitra Cigars','','','?','?'
6598,3229255680,8,'Rusani Old Smokey','','','?','?'
6599,3223088640,8,'Yaso Kondi Leaf','','','?','?'
6600,3228416768,8,'Chateau De Aegaeon','','','?','?'
6601,128666762,7,'The Waters of Shintara','','','?','?'
6602,3228939264,12,'Ophiuch Exino Artefacts','','','?','?'
6603,3229378560,4,'Baked Greebles','','','?','?'
6604,3222560256,4,'Aepyornis Egg','','','?','?'
6605,3227986432,8,'Saxon Wine','','','?','?'
6606,3228728832,8,'Centauri Mega Gin','','','?','?'
6607,3230243584,12,'Anduliga Fire Works','','','?','?'
6608,3228346112,5,'Banki Amphibious Leather','','','?','?'
6609,3229594624,1,'Cherbones Blood Crystals','','','?','?'
6610,3229750528,8,'Motrona Experience Jelly','','','?','?'
6611,3230954752,8,'Geawen Dance Dust','','','?','?'
6612,3228047360,8,'Gerasian Gueuze Beer','','','?','?'
6613,3226557696,4,'Haiden Black Brew','','','?','?'
6614,3221438976,12,'Havasupai Dream Catcher','','','?','?'
6615,3230224384,8,'Burnham Bile Distillate','','','?','?'
6616,3227036160,3,'HIP Organophosphates','','','?','?'
6617,3230754816,12,'Jaradharre Puzzle Box','','','?','?'
6618,3228726272,3,'Koro Kung Pellets','','','?','?'
6619,3229028864,4,'Void Extract Coffee','','','?','?'
6620,3229561344,7,'Honesty Pills','','','?','?'
6621,3224135424,9,'Non Euclidian Exotanks','','','?','?'
6622,3224166400,4,'LTT Hyper Sweet','','','?','?'
6623,3228398848,4,'Mechucos High Tea','','','?','?'
6624,3228762368,3,'Medb Starlube','','','?','?'
6625,3229612800,4,'Mokojing Beast Feast','','','?','?'
6626,3221719296,4,'Mukusubii Chitin-os','','','?','?'
6627,3228892672,4,'Mulachi Giant Fungus','','','?','?'
6628,3226127872,1,'Ngadandari Fire Opals','','','?','?'
6629,3227726848,5,'Tiegfries Synth Silk','','','?','?'
6630,3226474496,12,'Uzumoku Low-G Wings','','','?','?'
6631,3228959232,7,'V Herculis Body Rub','','','?','?'
6632,3225032704,4,'Wheemete Wheat Cakes','','','?','?'
6633,128149240,7,'Vega Slimweed','','','?','?'
6634,128151032,12,'Altairian Skin','','','?','?'
6635,128117240,8,'Pavonis Ear Grubs','','','?','?'
6636,128078840,5,'Jotun Mookah','','','?','?'
6637,128121336,9,'Giant Verrix','','','?','?'
6638,128118520,8,'Indi Bourbon','','','?','?'
6639,128098040,4,'Arouca Conventual Sweets','','','?','?'
6640,128134648,12,'Tauri Chimes','','','?','?'
6641,128125432,12,'Zeessze Ant Grub Glue','','','?','?'
6642,3228824064,7,'Pantaa Prayer Sticks','','','?','?'
6643,128134392,4,'Fujin Tea','','','?','?'
6644,3223418880,5,'Chameleon Cloth','','','?','?'
6645,128166392,4,'Orrerian Vicious Brew','','','?','?'
6646,128164856,4,'Uszaian Tree Grub','','','?','?'
6647,128075256,12,'Momus Bog Spaniel','','','?','?'
6648,128161016,4,'Diso Ma Corn','','','?','?'
6649,128639992,8,'Leestian Evil Juice','','','?','?'
6650,128639992,4,'Azure Milk','','','?','?'
6651,128164088,12,'Leathery Eggs','','','?','?'
6652,3221638400,7,'Alya Body Soap','','','?','?'
6653,3231082240,12,'Vidavantian Lace','','','?','?'
6654,128057866,8,'Lucan Onionhead','','','?','?'
6655,128667761,12,'Jaques Quinentian Still','','','?','?'
6656,3225348096,12,'Soontill Relics','','','?','?'
6657,3227172352,12,'Ultra-Compact Processor Prototypes','','','?','?'
6658,3228728832,12,'The Hutton Mug','','','?','?'
6659,128668557,1,'Sothis Crystalline Gold','','','?','?'
6660,128123640,13,'Master Chefs','','','?','?'
6661,3223105792,16,'Festive Gifts','','','?','?'
6662,128059402,16,'Crystalline Spheres','','','?','?'
6663,3226977024,8,'Onionhead Alpha Strain','','','?','?'
6664,3223027200,8,'Onionhead Beta Strain','','','?','?'
6665,128673074,16,'Galactic Travel Guide','','','?','?'
6666,3228463360,8,'Crom Silver Fesh','','','?','?'
6667,128107768,12,'Shan''s Charis Orchid','','','?','?'
6668,128745551,12,'Buckyball Beer Mats','','','?','?'
6669,3221575424,8,'Harma Silver Sea Rum','','','?','?'
6670,3223779840,1,'Platinum Alloy','','','?','?'
6671,3226651904,7,'Nanomedicines','','','?','?'
6672,3223453184,12,'Duradrives','','','?','?'
6673,128958681,8,'Apa Vietii','','','?','?'
6674,128986325,10,'Classified Experimental Equipment','','','?','?'
